Sgl/586600/1,Prunus spinosa,Blackthorn,3638,,"Sighthill/Gorgie
","Alexander Drive, Edinburgh",Housing," 322529,672192",5 to 10 meters,Mature,20 - 30,6 to 9 meters
Sgl/162272/17,Populus X canadensis,Hybrid Poplar,w597 Balgreen Nursery School,,"Sighthill/Gorgie
",Balgreen Nursery School,Children and Families," 322150,672220",20 to 25 meters,Mature,50 - 60,9 to 12 meters
Sgl/162276/18,Malus spp.,Apple spp,Balgreen Nursery School,,"Sighthill/Gorgie
",Balgreen Nursery School,Children and Families," 322147,672223",Up to 5 meters,Semi-mature,,Up to 3 meters
Sgl/162280/19,Tilia x europaea,Common Lime,w598 Balgreen Nursery School,,"Sighthill/Gorgie
",Balgreen Nursery School,Children and Families," 322139,672209",15 to 20 meters,Mature,70 - 80,9 to 12 meters
Sgl/162284/20,Quercus ilex,Holm Oak,w599 Balgreen Nursery School,,"Sighthill/Gorgie
",Balgreen Nursery School,Children and Families," 322137,672215",5 to 10 meters,Mature,30 - 40,Over 12 meters
Sgl/162288/21,Prunus avium,Wild Cherry,w600 Balgreen Nursery School,,"Sighthill/Gorgie
",Balgreen Nursery School,Children and Families," 322135,672218",5 to 10 meters,Mature,50 - 60,9 to 12 meters
Sgl/162292/22,Prunus avium,Wild Cherry,w601 Balgreen Nursery School,,"Sighthill/Gorgie
",Balgreen Nursery School,Children and Families," 322137,672229",5 to 10 meters,Mature,30 - 40,9 to 12 meters
Sgl/162296/23,Acer pseudoplatanus,Sycamore,w602 Balgreen Nursery School,,"Sighthill/Gorgie
",Balgreen Nursery School,Children and Families," 322135,672230",10 to 15 meters,Middle Aged,40 - 50,6 to 9 meters
Sgl/162300/24,Prunus avium,Wild Cherry,w603 Balgreen Nursery School,,"Sighthill/Gorgie
",Balgreen Nursery School,Children and Families," 322134,672233",5 to 10 meters,Mature,30 - 40,6 to 9 meters
Sgl/162304/25,Stump,Stump,Balgreen Nursery School,,"Sighthill/Gorgie
",Balgreen Nursery School,Children and Families," 322136,672234",,,20 - 30,
Sgl/162308/26,Prunus spp.,Cherry spp,Balgreen Nursery School,,"Sighthill/Gorgie
",Balgreen Nursery School,Children and Families," 322130,672230",Up to 5 meters,Semi-mature,,Up to 3 meters
Sgl/162312/27,Stump,Stump,Balgreen Nursery School,,"Sighthill/Gorgie
",Balgreen Nursery School,Children and Families," 322131,672236",,,30 - 40,
Sgl/162316/28,Prunus spp.,Cherry spp,Balgreen Nursery School,,"Sighthill/Gorgie
",Balgreen Nursery School,Children and Families," 322129,672236",Up to 5 meters,Semi-mature,10 - 20,Up to 3 meters
Sgl/162320/29,Prunus spp.,Cherry spp,Balgreen Nursery School,,"Sighthill/Gorgie
",Balgreen Nursery School,Children and Families," 322131,672239",Up to 5 meters,Semi-mature,10 - 20,Up to 3 meters
Sgl/162008/1,Ilex aquifolium,Common Holly,,,"Sighthill/Gorgie
",Balgreen Primary School,Children and Families," 322143,672320",Up to 5 meters,Semi-mature,10 - 20,Up to 3 meters
Sgl/162012/2,Prunus avium,Wild Cherry,,,"Sighthill/Gorgie
",Balgreen Primary School,Children and Families," 322138,672321",5 to 10 meters,Semi-mature,10 - 20,Up to 3 meters
Sgl/162016/3,Sorbus aucuparia,Rowan,,,"Sighthill/Gorgie
",Balgreen Primary School,Children and Families," 322136,672314",Up to 5 meters,Juvenile,,Up to 3 meters
Sgl/162020/4,Prunus avium,Wild Cherry,w588,,"Sighthill/Gorgie
",Balgreen Primary School,Children and Families," 322123,672317",5 to 10 meters,Middle Aged,40 - 50,Over 12 meters
Sgl/162024/5,Ilex spp.,Holly spp,,,"Sighthill/Gorgie
",Balgreen Primary School,Children and Families," 322119,672300",Up to 5 meters,Juvenile,,Up to 3 meters
Sgl/162028/6,Fraxinus excelsior,Common Ash,,,"Sighthill/Gorgie
",Balgreen Primary School,Children and Families," 322118,672298",Up to 5 meters,Juvenile,,Up to 3 meters
Sgl/162032/7,Sorbus aucuparia,Rowan,,,"Sighthill/Gorgie
",Balgreen Primary School,Children and Families," 322114,672304",Up to 5 meters,Juvenile,,Up to 3 meters
Sgl/162036/8,Fagus sylvatica purpurea,Purple Beech,w589,,"Sighthill/Gorgie
",Balgreen Primary School,Children and Families," 322130,672274",15 to 20 meters,Mature,90 +,Over 12 meters
Sgl/721908/28,Prunus spp.,Cherry spp,Bankhead Crossway North,,"Sighthill/Gorgie
","Bankhead Crossway North, Edinburgh",," 318968,671140",5 to 10 meters,Mature,70 - 80,9 to 12 meters
Sgl/721912/29,Sorbus spp.,Rowan/Whitebeam fam.,Bankhead Crossway North,,"Sighthill/Gorgie
","Bankhead Crossway North, Edinburgh",," 318957,671137",5 to 10 meters,Mature,60 - 70,6 to 9 meters
Sgl/721916/30,Sorbus spp.,Rowan/Whitebeam fam.,Bankhead Crossway North,,"Sighthill/Gorgie
","Bankhead Crossway North, Edinburgh",," 318945,671133",5 to 10 meters,Middle Aged,30 - 40,3 to 6 meters
Sgl/721920/31,Prunus spp.,Cherry spp,Bankhead Crossway North,,"Sighthill/Gorgie
","Bankhead Crossway North, Edinburgh",," 318691,671073",Up to 5 meters,Middle Aged,40 - 50,6 to 9 meters
Sgl/721928/33,Sorbus spp.,Rowan/Whitebeam fam.,Bankhead Crossway North,,"Sighthill/Gorgie
","Bankhead Crossway North, Edinburgh",," 318720,671080",Up to 5 meters,Middle Aged,40 - 50,6 to 9 meters
Sgl/721932/34,Malus spp.,Apple spp,Bankhead Crossway North,,"Sighthill/Gorgie
","Bankhead Crossway North, Edinburgh",," 318729,671082",Up to 5 meters,Mature,30 - 40,3 to 6 meters
